date,open,high,low,volume,rsi_14,macd,cci,adx,stoch_slowk,stoch_slowd,willr,momentum,roc,ema8,ema20,ema200,Sto_rsi_fastk,Sto_rsi_fastd,adosc,obv,BB_upper,BB_middle,BB_lower,adj_close
2013-12-11,28520,28880,28320,10629150,42.99787822,-76.532268,-112.2164049,15.16046644,41.30639098,36.83243603,-95.40229885,-1000,-3.401360544,28850.83815,29025.89071,28697.87893,0,50.53436829,-3963342.619,-313859200,29232.21175,28767.3849,28302.55805,28400
2013-12-12,27920,28200,27920,14962050,41.14113026,-130.5264177,-155.2542373,16.64054113,30.30474894,37.29263159,-86.91588785,-1680,-5.62248996,28706.20745,28947.23445,28692.92491,0,17.20103496,332188.7619,-328821250,29243.92089,28629.63757,28015.35424,28200
2013-12-13,28200,28220,27800,10053250,37.6402806,-203.2508778,-146.970128,18.1801056,11.55474894,27.72196295,-100,-2080,-6.961178046,28504.82802,28837.97403,28684.04008,0,-4.50E-14,-1139508.743,-338874500,29334.7772,28437.34976,27539.92233,27800
2013-12-16,27820,28080,27660,8954400,40.3723975,-241.9580659,-127.5905119,19.80110927,16.37931034,19.41293608,-85.83333333,-1340,-4.567143831,28392.64401,28758.16698,28677.23371,78.04153745,26.01384582,125770.3459,-329920100,28941.2113,28253.02528,27564.83926,28000
2013-12-17,28340,28340,27860,7762400,39.44191584,-277.5040615,-98.91642242,20.50339507,14.89071038,14.27492322,-90,-1320,-4.517453799,28283.16757,28676.43679,28669.50005,65.94283154,47.99478966,-1426261.271,-337682500,28524.83998,28094.02679,27663.21361,27900
2013-12-18,28100,28200,27880,10899200,41.19343549,-292.6183993,-85.92407869,21.1555176,32.53776921,21.26926331,-85,-620,-2.164804469,28224.68589,28613.919,28663.03736,100,81.328123,-2365014.089,-326783300,28252.42874,27985.41563,27718.40252,28020
2013-12-19,28360,28680,28360,10552400,48.18685556,-259.6439528,-7.170099161,20.40992212,52.96260581,33.46369513,-63.33333333,-260,-0.902777778,28294.75569,28606.8791,28661.81311,100,88.64761051,-2114350.325,-316230900,28497.87127,27985.24665,27472.62203,28540
2013-12-20,28260,28540,28260,8407400,48.18685556,-230.8503671,-8.278699062,19.91974791,75.16339869,53.55459124,-53.68421053,-20,-0.070028011,28349.25442,28600.50966,28660.60104,100,100,855489.4263,-316230900,28623.53371,28062.39202,27501.25032,28540
2013-12-23,28740,28760,28580,10639200,49.7851017,-196.0878669,47.13191735,18.89799386,87.1459695,71.75732467,-29.57746479,-420,-1.444291609,28418.309,28606.17541,28660.59506,100,100,1616518.771,-305591700,28805.66088,28187.22414,27568.78741,28660
2013-12-24,28600,28640,28300,10980350,45.27328299,-195.3356191,-1.285583104,18.538342,74.29689047,78.86875289,-54.92957746,-500,-1.736111111,28392.01811,28577.01584,28657.00705,0,66.66666667,-1712855.022,-316572050,28737.49669,28281.00573,27824.51477,28300
2013-12-26,28160,28300,28020,12307800,43.61779451,-203.6882953,-48.96593674,18.73357665,51.84502685,71.09596227,-64.78873239,-240,-0.845070423,28340.45853,28537.30005,28652.0617,0,33.33333333,-2919157.481,-328879850,28680.85093,28315.99479,27951.13866,28160
2013-12-27,28200,28220,27900,10510000,40.85947337,-227.0564799,-70.06369427,19.1295794,22.99059101,49.71083611,-81.69014085,-280,-0.992907801,28247.0233,28478.50957,28644.77751,0,-4.26E-14,-6073346.443,-339389850,28808.45427,28279.36449,27750.2747,27920
2013-12-30,27920,27940,27200,16908100,35.96132943,-281.0679466,-157.8209277,20.54365623,12.20970523,29.0151077,-86.81318681,-360,-1.294964029,28067.68479,28379.60389,28632.78967,0,-4.26E-14,-8701791.637,-356297950,28957.91285,28145.44993,27332.98701,27440
2014-01-02,26960,27100,26040,31025000,26.8591556,-420.6943899,-304.0825482,22.97629758,7.698270722,14.29952232,-95.07042254,-1820,-6.5,27648.19928,28170.11781,28608.3838,0,-4.26E-14,-16249993.56,-387322950,29351.13655,27815.42824,26279.71993,26180
2014-01-03,26000,26220,25740,26496600,25.42886635,-546.0348296,-241.9909502,25.45150737,9.266826923,9.724934293,-94.0397351,-1980,-7.096774194,27264.155,27955.82088,28581.63371,0,-4.26E-14,-19968306.3,-413819550,29175.44342,27353.90121,25532.35901,25920
2014-01-06,26060,26400,25920,19735800,28.87996592,-620.463552,-152.0062943,27.28464256,9.514965881,8.826687842,-86.75496689,-1880,-6.709493219,27014.34277,27782.88555,28557.33885,100,33.33333333,-20197431.39,-394083750,28507.17912,26900.59267,25294.00623,26140
2014-01-07,26000,26360,25900,19763200,28.4926786,-676.4921688,-119.4795254,29.00402034,12.87160924,10.55113401,-88.74172185,-2460,-8.61948143,26806.71105,27620.70598,28532.68871,88.7778573,62.92595243,-19822054.02,-413846950,27622.51416,26520.1966,25417.87904,26080
2014-01-08,26000,26080,25740,20474650,26.81459126,-733.4206615,-109.2423492,30.74188661,12.48864355,11.62507289,-97.35099338,-2720,-9.530483532,26587.44193,27449.21017,28505.69679,0,62.92595243,-21315424.01,-434321600,26480.05636,26206.88242,25933.70848,25820
2014-01-09,26140,26140,25500,21250950,24.87294626,-795.1917522,-98.38175331,32.56109452,7.112299465,10.82418408,-100,-3160,-11.02581996,26345.78816,27263.57111,28475.78936,0,29.5926191,-26750248.18,-455572550,26383.4018,25930.42939,25477.45699,25500
2014-01-10,25500,25720,25440,18189150,24.51451335,-839.3122164,-92.23057644,34.3014216,1.960784314,7.187242443,-100,-2860,-10.10600707,26144.50191,27089.89767,28445.5825,0,-4.26E-14,-32329201.42,-473761700,26270.55317,25695.10899,25119.66482,25440
2014-01-13,25660,25940,25460,16449350,32.54077411,-827.6195634,-69.07630522,35.23861934,16.66666667,8.579916815,-86.14457831,-2260,-8.025568182,26090.16815,26976.57408,28420.25332,100,33.33333333,-27310912.09,-457312350,26052.35891,25566.65941,25080.95991,25900
2014-01-14,25940,26600,25800,14716650,38.08891608,-780.3091422,-35.5754858,34.38572438,40.22988506,19.61911201,-75.30120482,-1660,-5.945558739,26127.90856,26908.32893,28398.75826,100,66.66666667,-22072779.78,-442595700,26166.66511,25573.15352,24979.64194,26260
2014-01-15,26600,26620,25960,11747450,35.63413563,-756.6863434,-31.39185124,33.54696898,55.48412235,37.46022469,-83.125,-1460,-5.320699708,26095.03999,26819.91665,28374.69101,55.75490933,85.25163644,-21434581.28,-454343150,26249.91341,25635.21349,25020.51356,25980
2014-01-16,26000,26200,25860,9752450,36.26606915,-726.3643632,-39.29098966,32.92177161,55.20163647,50.30521462,-79.72027972,-160,-0.611153552,26078.36444,26743.73411,28351.26125,25.74297497,60.49929477,-19407434.27,-444590700,26253.02659,25716.37027,25179.71396,26020
2014-01-17,26020,26300,25840,12774250,34.61894328,-708.6891438,-37.42430956,32.08205817,42.55795831,51.08123904,-85.61151079,-80,-0.308641975,26025.39456,26657.6642,28326.27358,0,27.16596143,-20878368.74,-457364950,26063.23505,25774.79095,25486.34684,25840
2014-01-20,26100,26380,25920,8682800,42.16270084,-648.4742095,19.59287532,31.09082677,48.4419324,48.73384239,-64.8,180,0.688599847,26090.86244,26625.5057,28306.31066,100,41.91432499,-17540078.76,-448682150,26222.45394,25863.43305,25504.41216,26320
2014-01-21,26300,26540,26220,7562300,44.46298633,-581.1437145,120.7459207,29.74821764,59.40817896,50.13602322,-37.34939759,400,1.533742331,26177.33745,26611.64802,28288.13841,100,66.66666667,-13075995.59,-441119850,26461.80764,25990.82569,25519.84374,26480
2014-01-22,26280,26560,26240,10826500,45.62740322,-515.3874154,132.8692962,28.44787997,81.82197207,63.22402781,-5.084745763,740,2.865995352,26262.37357,26606.72916,28270.943,100,100,-6616257.421,-430293350,26687.34779,26139.82975,25592.31172,26560
2014-01-23,26320,26440,25980,10336950,39.2089056,-504.2633929,25.07788162,27.78122886,67.16524217,69.46513106,-54.23728814,480,1.882352941,26199.62389,26547.04067,28248.14755,0,66.66666667,-6661188.859,-440630300,26776.96308,26215.59332,25654.22357,25980
2014-01-24,26000,26360,25820,14001750,41.64752264,-477.0378665,17.69352291,27.4723301,54.22922923,67.73881449,-40.6779661,700,2.751572327,26186.37414,26508.27489,28227.17096,37.9935801,45.99786003,-5248988.339,-426628550,26667.90649,26240.52375,25813.14102,26140
2014-01-27,25860,26080,25700,13346300,38.52681752,-474.2026208,-51.81818182,27.4126919,26.32225249,49.23890796,-66.10169492,-60,-0.231660232,26109.40211,26444.62966,28203.41801,0,12.6645267,-5311602.344,-439974850,26759.76177,26201.47869,25643.1956,25840
2014-01-28,25460,25860,25460,11701350,36.74760224,-480.9362303,-106.2775772,27.78779555,25.90137706,35.48428626,-81.3559322,-600,-2.284843869,26009.53497,26369.90303,28178.11037,0,12.6645267,-4854344.224,-451676200,26716.52923,26104.43774,25492.34624,25660
2014-01-29,25600,25760,25540,19181850,36.14833968,-485.5174204,-109.2982456,28.13610608,16.24886741,22.82416565,-86.44067797,-380,-1.462663587,25918.5272,26296.57893,28152.45753,0,-4.03E-14,-7000214.568,-470858050,26376.21896,25976.69925,25577.17953,25600
2014-02-03,25720,25760,25420,16259200,34.53117974,-496.3372426,-136.4986323,28.67824043,11.53173068,17.89399172,-98.33333333,-580,-2.229054573,25812.18782,26214.99998,28125.46791,0,-4.03E-14,-11806436.14,-487117250,26308.53786,25830.27433,25352.01081,25440
2014-02-04,25260,25260,24980,16033000,30.33009943,-535.853203,-203.2852937,29.88049881,5.47112462,11.08390757,-100,-860,-3.328173375,25627.2572,26097.38094,28094.16972,0,-4.03E-14,-17800714.4,-503150250,26219.75581,25636.57831,25053.40081,24980
